id,Preferred Name,Industry,Job Title,Job Tags,Job Description,STEEP Change 1,STEEP Change 2,STEEP Change 3,STEEP Combined,STEEP Reason 1,STEEP Reason 2,STEEP Reason 3,Combined Signals,Archetype,Future - Litany,Future - Job Title,Future - Systems,Future - Metaphor,Feedback,How got to know,tags
6202786c7d40bb363a40f8e8,Nicole,Design / construction,Interior designer,design,I design residential interior spaces,Environmental,Technological,Social,"Environmental,Technological,Social",Climate change,"Virtual reality, AI, IoT",Polarised views,"climate change, virtual reality, AI, iot, polarised views",Growth,,,,,,,
622008119cedee53316e89a5,Tamas,Education,Professor,education,I teach at a university,Technological,Economic,Environmental,"Technological,Economic,Environmental","Web 4.0, 6G, metaverse","Digitalization, globally distributed (work-from-anywhere) workforce, concentration of talent at innovation hubs (companies, societies, alliances)","ESG, green tech, climate-induced innovation","web3, communication technology, metaverse, digitalisation, remote work, digital nomad, concentration of talent, increased sustainability, innovation",Growth,Co-facilitator with AI counterparts in highly personalized learning journeys for global citizens,Humentor (human-mentor),"Symbiotic integration of humans and computers where learning is not anymore about learning lexical knowledge, but guiding empathetic futures",New era of augmented (virtual/biological) explorations,,Khai Seng’s LinkedIn post,Reflections yes
621ec40f51220c43431eeed7,Eddie,Education,Researcher,"education,research",I read and write a lot.,Social,Technological,Environmental,"Social,Technological,Environmental",Society tends to be conservative,Technology is only going to lead to largely incremental growth,Climate change will come upon us a little bit at a time,climate change,Growth,"Climate change is terrible, but the effects are incremental. Something getting more wrong and worse every day, month, year, rather than in big catastrophic moves.",Climate Change Analyst,Climate change has become an overriding thing,Green is money,,A friend forwarded the chatbot to me,Reflections yes
621d65d80cd62d17365b1b01,Rashid,Education,Instructor,education,Moulding young minds,Technological,Economic,Social,"Technological,Economic,Social",Augmented reality,New currency,More accepting,"AR, new forms of currency",Growth,,,,,,,
621debc675b8ef017c0797ff,Melissa,Civil Service,SSO Organisation Review,public service,"Formulate & implement Organisation Development programmes & policies, specifically pertaining to the efficiency & reliability of the organisation’s systems & processes.",Technological,Environmental,Economic,"Technological,Environmental,Economic","VR, AI advancements","Environmental awareness & pursuits, climate change etc",Digital workplaces,"virtual reality, AI, climate change, increased sustainability, digital nomad, remote work",Growth,,,,,,,
620d0da7b9219703c3688191,Porter,IT,Software Developer 👨🏻‍💻,IT,Write code 👨🏻‍💻,Environmental,Political,Economic,"Environmental,Political,Economic",The depletion of ocean life. Corals dying due to global warming.,"A world without borders may come, bringing a bigger set of problems",The rise of another super power - China,"loss of biodiversity, global warming, world without borders, national identity, shifting global powers",Collapse,This person is analysing data,Data manager,Software has come to a point where it is fully autonomous. Work is mostly communication and presentations,A bee hive,,,
62419d93fc1e4b62f65065aa,M,Government,Manager,public service,Policy work,Environmental,Social,Political,"Environmental,Social,Political","Global warming, adverse weather","Civil unrest, rise of the rich","Polarisation, might over right","global warming, extreme weather, civil unrest, widening income gap, unequal distribution of power between rich and poor, polarised views",Collapse,Trying to stem the tide of fake news and online vitriol,Information specialist,,,,,
622065bb4819a01f9465c9d2,FM,Technology,Product Lead,tech,Manage software products,Social,Environmental,Economic,"Social,Environmental,Economic",Income gaps within societies and between socieities. Ageist behaviours. Elitist behaviours. In summary - the belief that some lives are worth more/less than others and that not all humans deserve the same basic freedoms/rights are fundamental flaws of our society that will widen gaps between perceived groups and cause friction and collapse.,Global warming. Climate change. Insufficient resources. Unable to deal with disaster. Overpopulation.,the strong are getting stronger and exploiting the weak. this generic theme is seen in strong countries consolidating their strength by exploiting weaker countries. (e.g. making other weaker countries dependent on them). the weak cannot survive on their own.,"widening income gap, ageist behaviours, elitism, inequality, global warming, climate change, depleting resources, overpopulation, natural disasters, man-made disasters, unequal distribution of power between rich and poor",Collapse,this person is alone. sitting down on a chair. screens are all around. content displayed seems to be floating in the air. the person doesnt move. but the data being displayed changes along with her thoughts. she hears other voices in her head. those are other people interacting with her thoughts. thoughts are automatically categorised and summarised as the exchange of thought continues.,product manager,someone always has to be around to manage the software manifestations. even if it was cursory and most software development work is done by AI/ML,cant go out into the world. cant live for real.,,friend forwarded it,
624422cea76d7432a34b30b1,Shu,Tech,Product Designer,"tech,design","I design digital experiences for humans, to make their lives better.",Environmental,Political,Social,"Environmental,Political,Social","Global warming, and increasingly destructive ecological events coupled with international inaction.",The rise of authoritarianism. And the slow death of democracy in the US.,"Aging population. Future generations are certainly paying the price of the past generation’s actions.

Polarisation and not enough well educated citizens capable of engaging with an increasingly complex world.","global warming, natural disasters, ineffective world leadership, increased authoritarianism, decreased democracy, ageing population, polarised views, increased complexity",Collapse,,,,,,,
621e348d66d23227e043ce9d,Chun,Eco education,Eco warrior,"education,sustainability",Teach and advocate for environmental care and protection,Environmental,Social,Political,"Environmental,Social,Political","Depleting resources, environmental degradation, climate change","Ageing population, polarised views, compressed modernity","Political ideologies, legal requirements, colonisation/decolonisation","depleting resources, environmental degradation, climate change, ageing population, polarised views, compressed modernity, political ideologies, colonisation, decolonisation",Collapse,Quiet and deliberating the next step of action as the whole world continues to fall into despair,Crisis coordinator / liberator,"The world is in a huge crisis as the environment, societies and political parties deteriorate. A lot of resources are being depleted e.g. water, food, energy, overwhelming waste and pollution. People are finding hard to live decent lives.",Can we find a way out of this?,,Resident partners of CG,Reflections yes
624650cda383c77e11351911,Val,Design,Service design lead,design,Co-create with people to understand needs and make products and services that work for all involved,Environmental,Political,Social,"Environmental,Political,Social","Felt changes in weather conditions being too cold and too hot. Global warming, forest fires, depletion of marine life","Mistrust, tending on reactive rather than to find common ground and peace but also complex, overwhelming and rapidly shifting conditions most likely make it hard for collaboration and increase instinct for protectionism","Polarization, separatism, cancel culture, overstretched population with decreasing bandwidth to be human and answer our very human commitments","climate change, global warming, loss of biodiversity, natural disasters, decreased collaboration, increased protectionism, polarised views, separatism, cancel culture",Collapse,,,,,,,
