id,Preferred Name,Industry,Job Title,Job Tags,Job Tags Broad,Job Description,STEEP Change 1,STEEP Change 2,STEEP Change 3,STEEP Combined,STEEP Reason 1,STEEP Reason 2,STEEP Reason 3,Combined Signals,Archetype,Future - Litany,Future - Job Title,Future - Systems,Future - Metaphor,Feedback,How got to know,tags
622008119cedee53316e89a5,Tamas,Education,Professor,education,Education / Development,I teach at a university,Technological,Economic,Environmental,"Technological,Economic,Environmental","Web 4.0, 6G, metaverse","Digitalization, globally distributed (work-from-anywhere) workforce, concentration of talent at innovation hubs (companies, societies, alliances)","ESG, green tech, climate-induced innovation","web3 and beyond,communication technology,metaverse,digitalisation,remote work,digital nomad,concentration of talent,increased sustainability,innovation",Growth,Co-facilitator with AI counterparts in highly personalized learning journeys for global citizens,Humentor (human-mentor),"Symbiotic integration of humans and computers where learning is not anymore about learning lexical knowledge, but guiding empathetic futures",New era of augmented (virtual/biological) explorations,,Khai Seng’s LinkedIn post,Reflections yes
621ec40f51220c43431eeed7,Eddie,Education,Researcher,"education,research",Education / Development,I read and write a lot.,Social,Technological,Environmental,"Social,Technological,Environmental",Society tends to be conservative,Technology is only going to lead to largely incremental growth,Climate change will come upon us a little bit at a time,climate change,Growth,"Climate change is terrible, but the effects are incremental. Something getting more wrong and worse every day, month, year, rather than in big catastrophic moves.",Climate Change Analyst,Climate change has become an overriding thing,Green is money,,A friend forwarded the chatbot to me,Reflections yes
620d0da7b9219703c3688191,Porter,IT,Software Developer 👨🏻‍💻,IT,Computing / ICT,Write code 👨🏻‍💻,Environmental,Political,Economic,"Environmental,Political,Economic",The depletion of ocean life. Corals dying due to global warming.,"A world without borders may come, bringing a bigger set of problems",The rise of another super power - China,"loss of biodiversity,global warming,world without borders,national identity,shifting global powers",Collapse,This person is analysing data,Data manager,Software has come to a point where it is fully autonomous. Work is mostly communication and presentations,A bee hive,,,
622065bb4819a01f9465c9d2,FM,Technology,Product Lead,tech,Computing / ICT,Manage software products,Social,Environmental,Economic,"Social,Environmental,Economic",Income gaps within societies and between socieities. Ageist behaviours. Elitist behaviours. In summary - the belief that some lives are worth more/less than others and that not all humans deserve the same basic freedoms/rights are fundamental flaws of our society that will widen gaps between perceived groups and cause friction and collapse.,Global warming. Climate change. Insufficient resources. Unable to deal with disaster. Overpopulation.,the strong are getting stronger and exploiting the weak. this generic theme is seen in strong countries consolidating their strength by exploiting weaker countries. (e.g. making other weaker countries dependent on them). the weak cannot survive on their own.,"widening income gap,ageist behaviours,elitism,inequality,global warming,climate change,depleting resources,overpopulation,natural disasters,man-made disasters,unequal distribution of power between rich and poor",Collapse,this person is alone. sitting down on a chair. screens are all around. content displayed seems to be floating in the air. the person doesnt move. but the data being displayed changes along with her thoughts. she hears other voices in her head. those are other people interacting with her thoughts. thoughts are automatically categorised and summarised as the exchange of thought continues.,product manager,someone always has to be around to manage the software manifestations. even if it was cursory and most software development work is done by AI/ML,cant go out into the world. cant live for real.,,friend forwarded it,
621e348d66d23227e043ce9d,Chun,Eco education,Eco warrior,"education,sustainability",Environment,Teach and advocate for environmental care and protection,Environmental,Social,Political,"Environmental,Social,Political","Depleting resources, environmental degradation, climate change","Ageing population, polarised views, compressed modernity","Political ideologies, legal requirements, colonisation/decolonisation","depleting resources,environmental degradation,climate change,ageing population,polarised views,compressed modernity,political ideologies,colonisation,decolonisation",Collapse,Quiet and deliberating the next step of action as the whole world continues to fall into despair,Crisis coordinator / liberator,"The world is in a huge crisis as the environment, societies and political parties deteriorate. A lot of resources are being depleted e.g. water, food, energy, overwhelming waste and pollution. People are finding hard to live decent lives.",Can we find a way out of this?,,Resident partners of CG,Reflections yes
621defd9ab4080579f291689,Noah,Design,Designer,design,Arts / Design / Creative,Consultant,Environmental,Social,Political,"Environmental,Social,Political","Rising sea levels, increased temperature, decrease in vegetation, depleting natural resources, heightened political unrest, disparities in social fabric, technological breakdowns","Heightened political unrest, disparities in social fabric, social isolation",War,"rising sea levels,rising temperature,loss of biodiversity,depleting resources,civil unrest,war",Collapse,Scientific Expert at engineered intelligence in humans,Clone,A need to expound and expand on the human consciousness,"Unreal,",,DesignSG,Reflections yes
621ff28058c8c930785d402a,Joy,Transportation,Defeated working mother of a 4 Yr old,transport,Logistics / Manufacturing,Motivate ppl to uphold service standards,Technological,Political,Social,"Technological,Political,Social",Internet of things,"Russian invasions, China oppression, decline of america",Individualism over environment,"iot,war,geopolitical tensions,shifting global powers,individualisation",Collapse,Motivating bots,Productivity efficiency officer,Lack need for human to human interactions. Ppl die from war. Choose to interact thru devices,Loneliness in wilderness,,Word of mouth,
62275a7e1286cb559228975a,Lyn,Social Sector,Programme Architect,social service,Social Service,Design and implement community service programmes,Technological,Economic,Environmental,"Technological,Economic,Environmental","Block Chain, AI, NFTs","Digital Workplaces, Global Talent Crunch","Climate Change, Depleting Resources","blockchain,artificial intelligence,NFTs,remote work,global talent crunch,climate change,depleting resources",Transformation,User Experience Design,Design interfaces for AI,Greater need for customisation to meet individual needs,The only limit is you,,Cool! And I’m excited to know the outcome! :D,Reflections yes
621ec5720d745565821543dd,Nammi,Consultancy,Talent partner,consultancy,Management / Consulting,I translate business vision into talent strategies and execute them,Environmental,Social,Political,"Environmental,Social,Political","Rapid changing climate, unpredictable and un0recedented weather patterns and changes","Younger generations less likely go have children, more communal and supportive structuress will arise",Colonial rule will crumble,"climate change,extreme weather,decreased birthrate,decolonisation",Transformation,"They are a community oriented person, their purpose is empowering people through profession. They collaborate with a team, they help set peoplr up for success",People architect,"Communal and collective living. Close integeation, collaboration prevails where competition previously thrived. People are kind and adaptive. Work is a joy, not something seperated from your 'life'",Being is like a forest frog enjoying the trees,,Design sg tele channel,
62281e686cc9f54293341b14,wei,design,design researcher,design,Arts / Design / Creative,help frame design propositions with understanding of various stakeholders’ perspectives,Social,Environmental,Political,"Social,Environmental,Political",ageing population,"climate change, depleting resources",war,"ageing population,climate change,depleting resources,war",Transformation,designer,creative,the creative role is needed to recreate and improve gaps left in the world after years of unrest and changing demographics,new dawn,,word of mouth,Reflections yes
